🔆联通指定,#genre#
CCTV-1,https://anren.live/t/ysp.php?id=cctv1
CCTV-2,https://anren.live/t/ysp.php?id=cctv2#http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV-3,https://anren.live/t/ysp.php?id=cctv3
CCTV-4,https://anren.live/t/ysp.php?id=cctv4
CCTV-5,
CCTV-5+,
CCTV-6,https://anren.live/t/ysp.php?id=cctv6
CCTV-7,https://anren.live/t/ysp.php?id=cctv7
CCTV-8,https://anren.live/t/ysp.php?id=cctv8
CCTV-9,https://anren.live/t/ysp.php?id=cctv9
CCTV-10,https://anren.live/t/ysp.php?id=cctv10
CCTV-11,https://anren.live/t/ysp.php?id=cctv11
CCTV-12,https://anren.live/t/ysp.php?id=cctv12
CCTV-13,https://anren.live/t/ysp.php?id=cctv13
CCTV-14,https://anren.live/t/ysp.php?id=cctv14
CCTV-15,https://anren.live/t/ysp.php?id=cctv15
CCTV-16,https://anren.live/t/ysp.php?id=cctv16
CCTV-17,https://anren.live/t/ysp.php?id=cctv17
CCTV-4K,https://anren.live/t/ysp.php?id=cctv4k#https://hu60.cn/download/cctv/ysp1.php
CCTV-8K,http://159.75.85.63:8654/xx8k50fps.php
兵器科技,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513403.m3u8
第一剧场,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514403.m3u8
电视指南,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514003.m3u8
风云剧场,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513603.m3u8
风云音乐,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514103.m3u8
风云足球,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012514203.m3u8
高尔夫网球,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012512503.m3u8
怀旧剧场,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012511203.m3u8
女性时尚,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513903.m3u8
世界地理,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513303.m3u8
卫生将康,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513503.m3u8
央视台球,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513703.m3u8
央视文化精品,http://645c6e6320d051d49b446bac57d65143.v.smtcdns.net/tlivecloud-ipv6.ysp.cctv.cn/ysp/2012513803.m3u8

安徽卫视,https://anren.live/t/ysp.php?id=ahws
北京卫视,https://anren.live/t/ysp.php?id=bjws
兵团卫视,https://test5.btzx.com.cn/live/2023bt.stream/playlist.m3u8
重庆卫视,https://anren.live/t/ysp.php?id=cqws
东方卫视,https://anren.live/t/ysp.php?id=dfws
东南卫视,https://anren.live/t/ysp.php?id=dnws
凤凰卫视,
甘肃卫视,
广东卫视,https://anren.live/t/ysp.php?id=gdws
广西卫视,https://anren.live/t/ysp.php?id=gxws
贵州卫视,
湖南卫视,https://anren.live/t/ysp.php?id=hunws
河北卫视,https://anren.live/t/ysp.php?id=hbws
河南卫视,https://anren.live/t/ysp.php?id=hnws
黑龙江卫视,https://anren.live/t/ysp.php?id=hljws
湖北卫视,https://anren.live/t/ysp.php?id=hubws
湖南卫视,
海南卫视,https://anren.live/t/ysp.php?id=hinws
吉林卫视,http://hls1.avap.jilintv.cn/zqvk7vpj/channel/0533b55e42354f4f802bdec78e26b571/1.m3u8#https://anren.live/t/ysp.php?id=jlws
江苏卫视,https://anren.live/t/ysp.php?id=jsws
江西卫视,https://anren.live/t/ysp.php?id=jxws
辽宁卫视,https://anren.live/t/ysp.php?id=lnws
内蒙古卫视,
宁夏卫视,
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8#http://stream.qhbtv.com/qhws/sd/live.m3u8
三沙卫视,https://pullsstv90080111.ssws.tv/live/SSTV20220729.m3u8
山东卫视,https://anren.live/t/ysp.php?id=sdws
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
陕西卫视,
深圳卫视,https://anren.live/t/ysp.php?id=szws
四川卫视,https://anren.live/t/ysp.php?id=scws
天津卫视,https://anren.live/t/ysp.php?id=tjws
西藏卫视,
新疆卫视,https://anren.live/t/ysp.php?id=xjws
云南卫视,
浙江卫视,http://hw-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8#https://anren.live/t/ysp.php?id=zjws
